"astro-ph/0512553","Patricio S. Letelier","D. Vogt and P.S. Letelier","Comments on ""Perspectives on Galactic Dynamics via General Relativity""","5 pages, 1 figure",,,,"astro-ph gr-qc",,"  In this comment we question some arguments presented in astro-ph/0512048 to
refuse the presence of an singular mass surface layer. In particular, incorrect
expressions are used for the disk's surface mass density. We also point out
that the procedure of removing the descontinuity on the $z=0$ plane with a
region of continuous density gradient generates other two regions of
descontinuities with singular mass surface layers making the model unrealistic.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:40:32 GMT""}]","2007-05-23"
"cs/0512090","Renaud Lambiotte","R. Lambiotte and M. Ausloos","Collaborative tagging as a tripartite network",,"Lecture Notes in Computer Science, 3993 (2006) 1114 - 1117","10.1007/11758532_152",,"cs.DS cs.DL",,"  We describe online collaborative communities by tripartite networks, the
nodes being persons, items and tags. We introduce projection methods in order
to uncover the structures of the networks, i.e. communities of users, genre
families...
  To do so, we focus on the correlations between the nodes, depending on their
profiles, and use percolation techniques that consist in removing less
correlated links and observing the shaping of disconnected islands. The
structuring of the network is visualised by using a tree representation. The
notion of diversity in the system is also discussed.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 13:38:57 GMT""},{""version"":""v2"",""created"":""Thu, 29 Dec 2005 09:14:19 GMT""}]","2016-08-31"
"cs/0512091","Erik Demaine","Boris Aronov, Prosenjit Bose, Erik D. Demaine, Joachim Gudmundsson,
  John Iacono, Stefan Langerman, Michiel Smid","Data Structures for Halfplane Proximity Queries and Incremental Voronoi
  Diagrams","17 pages, 6 figures. Various small improvements. To appear in
  Algorithmica",,,,"cs.CG cs.DS","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We consider preprocessing a set $S$ of $n$ points in convex position in the
plane into a data structure supporting queries of the following form: given a
point $q$ and a directed line $\ell$ in the plane, report the point of $S$ that
is farthest from (or, alternatively, nearest to) the point $q$ among all points
to the left of line $\ell$. We present two data structures for this problem.
The first data structure uses $O(n^{1+\varepsilon})$ space and preprocessing
time, and answers queries in $O(2^{1/\varepsilon} \log n)$ time, for any $0 <
\varepsilon < 1$. The second data structure uses $O(n \log^3 n)$ space and
polynomial preprocessing time, and answers queries in $O(\log n)$ time. These
are the first solutions to the problem with $O(\log n)$ query time and $o(n^2)$
space.
  The second data structure uses a new representation of nearest- and
farthest-point Voronoi diagrams of points in convex position. This
representation supports the insertion of new points in clockwise order using
only $O(\log n)$ amortized pointer changes, in addition to $O(\log n)$-time
point-location queries, even though every such update may make $\Theta(n)$
combinatorial changes to the Voronoi diagram. This data structure is the first
demonstration that deterministically and incrementally constructed Voronoi
diagrams can be maintained in $o(n)$ amortized pointer changes per operation
while keeping $O(\log n)$-time point-location queries.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 04:28:12 GMT""},{""version"":""v2"",""created"":""Wed, 15 Jul 2015 13:10:07 GMT""},{""version"":""v3"",""created"":""Fri, 13 Oct 2017 16:47:53 GMT""}]","2017-10-16"
"cs/0512092","Stephen F. Bush PhD","Stephen F. Bush and Nathan Smith","The Limits of Motion Prediction Support for Ad hoc Wireless Network
  Performance","Introduces flash routing","The 2005 International Conference on Wireless Networks (ICWN-05)
  Monte Carlo Resort, Las Vegas, Nevada, USA, June 27-30, 2005",,,"cs.NI",,"  A fundamental understanding of gain provided by motion prediction in wireless
ad hoc routing is currently lacking. This paper examines benefits in routing
obtainable via prediction. A theoretical best-case non-predictive routing model
is quantified in terms of both message overhead and update time for
non-predictive routing. This best- case model of existing routing performance
is compared with predictive routing. Several specific instances of predictive
improvements in routing are examined. The primary contribution of this paper is
quantification of predictive gain for wireless ad hoc routing.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 22:17:20 GMT""}]","2007-05-23"
"gr-qc/0512135","R. R. Cuzinatto","R. Aldrovandi, R. R. Cuzinatto and L. G. Medeiros","Cosmic Acceleration from Elementary Interactions","4 pages, 3 figures, 1 table",,,,"gr-qc",,"  It is possible to generate an accelerated period of expansion from reasonable
potentials acting between the universe particle constituents. The pressure of
primordial nucleons interacting via a simple nuclear potential is obtained via
Mayer's cluster expansion technique. The attractive part of the potential
engenders a negative pressure and may therefore be responsible for the cosmic
acceleration.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 20:27:29 GMT""}]","2007-05-23"
"gr-qc/0512136","Peter C. Aichelburg","Peter C. Aichelburg, Piotr Bizon and Zbislaw Tabor","Bifurcation and fine structure phenomena in critical collapse of a
  self-gravitating $\sigma$-field",,"Class.Quant.Grav. 23 (2006) S299-S306","10.1088/0264-9381/23/16/S01",,"gr-qc",,"  Building on previous work on the critical behavior in gravitational collapse
of the self-gravitating SU(2) $\sigma$-field and using high precision numerical
methods we uncover a fine structure hidden in a narrow window of parameter
space. We argue that this numerical finding has a natural explanation within a
dynamical system framework of critical collapse.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 16:16:38 GMT""}]","2009-11-11"
"gr-qc/0512137","Eric Chassande-Mottin","Eric Chassande-Mottin and Archana Pai","Best chirplet chain: near-optimal detection of gravitational wave chirps","23 pages, 9 figures. Accepted for publication in Phys. Rev D Some
  typos corrected and changes made according to referee's comments","Phys.Rev. D73 (2006) 042003","10.1103/PhysRevD.73.042003",,"gr-qc",,"  The list of putative sources of gravitational waves possibly detected by the
ongoing worldwide network of large scale interferometers has been continuously
growing in the last years. For some of them, the detection is made difficult by
the lack of a complete information about the expected signal. We concentrate on
the case where the expected GW is a quasi-periodic frequency modulated signal
i.e., a chirp. In this article, we address the question of detecting an a
priori unknown GW chirp. We introduce a general chirp model and claim that it
includes all physically realistic GW chirps. We produce a finite grid of
template waveforms which samples the resulting set of possible chirps. If we
follow the classical approach (used for the detection of inspiralling binary
chirps, for instance), we would build a bank of quadrature matched filters
comparing the data to each of the templates of this grid. The detection would
then be achieved by thresholding the output, the maximum giving the individual
which best fits the data. In the present case, this exhaustive search is not
tractable because of the very large number of templates in the grid. We show
that the exhaustive search can be reformulated (using approximations) as a
pattern search in the time-frequency plane. This motivates an approximate but
feasible alternative solution which is clearly linked to the optimal one.
[abridged version of the abstract]
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 17:14:10 GMT""},{""version"":""v2"",""created"":""Thu, 2 Feb 2006 17:28:56 GMT""}]","2009-11-11"
"gr-qc/0512138","Dionisio Bazeia","D. Bazeia, C. Furtado, A.R. Gomes","Gravitacional field of a global defect","5 pages, 3 figures",,,,"gr-qc hep-th",,"  Global topological defects described by real scalar field in (3,1) dimensions
coupled to gravity are analyzed. We consider a class of scalar potentials with
explicit dependence with distance, evading Derrick's theorem and leading to
defects with spherical symmetry. The analysis shows that the defects have
finite energy on flat space, contrary to the observed for the global monopole.
With the aim to study the gravitational field produced by such defects, after
an {\it Ansatz} for the static metric with spherical symmetry, we obtain the
coupled system of Einstein and field equations. On the Newtonian approximation,
we numerically find that the defects have a repulsive gravitational field. This
field is like one generated by a negative mass distributed on a spherical
shell. In the weak gravity regime a relation between the Newtonian potential
and one of the metric coefficients is obtained. The numerical analysis in this
regime leads to a spacetime with a deficit solid angle on the core of the
defect.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 19:51:01 GMT""}]","2007-05-23"
"gr-qc/0512139","Matt Visser","Stefano Liberati (SISSA/ISAS and INFN, Trieste), Matt Visser (Victoria
  University of Wellington, New Zealand), Silke Weinfurtner (Victoria
  University of Wellington, New Zealand)","Naturalness in emergent spacetime","V1:4 pages, revtex4; V2: slight changes in title, presentation, and
  conclusions. This version to appear in Physical Review Letters","Phys.Rev.Lett. 96 (2006) 151301","10.1103/PhysRevLett.96.151301",,"gr-qc",,"  Effective field theories (EFTs) have been widely used as a framework in order
to place constraints on the Planck suppressed Lorentz violations predicted by
various models of quantum gravity. There are however technical problems in the
EFT framework when it comes to ensuring that small Lorentz violations remain
small -- this is the essence of the ""naturalness"" problem. Herein we present an
""emergent"" space-time model, based on the ""analogue gravity'' programme, by
investigating a specific condensed-matter system that is in principle capable
of simulating the salient features of an EFT framework with Lorentz violations.
Specifically, we consider the class of two-component BECs subject to
laser-induced transitions between the components, and we show that this model
is an example for Lorentz invariance violation due to ultraviolet physics.
Furthermore our model explicitly avoids the ""naturalness problem"", and makes
specific suggestions regarding how to construct a physically reasonable quantum
gravity phenomenology.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 21:36:59 GMT""},{""version"":""v2"",""created"":""Fri, 17 Mar 2006 00:07:39 GMT""}]","2009-11-11"
"gr-qc/0512140","H Mohseni Sadjadi","H. Mohseni Sadjadi","Generalized second law in phantom dominated universe","8 pages, 2 figures. Typos corrected. References added. GSL in the
  transition time (from quintessence to phantom phase) discussed. To be
  published in Phys. Rev. D","Phys.Rev. D73 (2006) 063525",,,"gr-qc",,"  We study the conditions of validity of generalized second law in phantom
dominated era.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 04:43:31 GMT""},{""version"":""v2"",""created"":""Wed, 15 Feb 2006 18:42:28 GMT""}]","2007-05-23"
"gr-qc/0512141","Bijan Saha","Ivanhoe B. Pestov and Bijan Saha","Causal structures in the four dimensional Euclidean space","RevTex, 8 pages",,,,"gr-qc",,"  It is shown that in the 4d Euclidean space there are two causal structures
defined by the temporal field. One of them is well-known Minkowski spacetime.
In this case the gravitational potential (the positive definite Riemann metric)
and temporal field satisfy the Einstein equations with trivial energy-momentum
tensor. However, in the case of the second causal structure the gravitational
potential and temporal field should be connected with some nontrivial
energy-momentum tensor. We consider the simplest case with energy-momentum
tensor of the real scalar field and derive exact solution of the field
equations. It can be viewed as the ground to consider the second causal
structure on the equal footing with the Minkowski spacetime, i.e., as an object
interesting from the physical point of view, especially in the framework of the
field theory.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 10:28:51 GMT""}]","2007-05-23"
"gr-qc/0512142","Miguel Lorente","L. Bombelli (University of Mississipi, USA), M. Lorente (University of
  Oviedo, Spain)","A combinatorial approach to discrete geometry","LaTeX, 5 pages with 3 figures. To appear in the Proceedings of the
  XXVIII Spanish Relativity Meeting (ERE2005), 6-10 September 2005, Oviedo,
  Spain",,"10.1063/1.2218222",,"gr-qc",,"  We present a paralell approach to discrete geometry: the first one introduces
Voronoi cell complexes from statistical tessellations in order to know the mean
scalar curvature in term of the mean number of edges of a cell. The second one
gives the restriction of a graph from a regular tessellation in order to
calculate the curvature from pure combinatorial properties of the graph.
  Our proposal is based in some epistemological pressupositions: the
macroscopic continuous geometry is only a fiction, very usefull for describing
phenomena at certain sacales, but it is only an approximation to the true
geometry. In the discrete geometry one starts from a set of elements and the
relation among them without presuposing space and time as a background.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 10:57:45 GMT""}]","2009-11-11"
