"astro-ph/0511774","Max Tegmark","Max Tegmark (MIT), Anthony Aguirre (UCSC), Martin J Rees (Cambridge),
  Frank Wilczek (MIT)","Dimensionless constants, cosmology and other dark matters","29 pages, 13 figs, minor mods to match published PRD version","Phys.Rev.D73:023505,2006","10.1103/PhysRevD.73.023505",,"astro-ph hep-ph hep-th",,"  We identify 31 dimensionless physical constants required by particle physics
and cosmology, and emphasize that both microphysical constraints and selection
effects might help elucidate their origin. Axion cosmology provides an
instructive example, in which these two kinds of arguments must both be taken
into account, and work well together. If a Peccei-Quinn phase transition
occurred before or during inflation, then the axion dark matter density will
vary from place to place with a probability distribution. By calculating the
net dark matter halo formation rate as a function of all four relevant
cosmological parameters and assessing other constraints, we find that this
probability distribution, computed at stable solar systems, is arguably peaked
near the observed dark matter density. If cosmologically relevant WIMP dark
matter is discovered, then one naturally expects comparable densities of WIMPs
and axions, making it important to follow up with precision measurements to
determine whether WIMPs account for all of the dark matter or merely part of
it.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:30:04 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 2005 15:30:08 GMT""},{""version"":""v3"",""created"":""Wed, 11 Jan 2006 21:29:45 GMT""}]","2008-11-26"
"cond-mat/0511739","Satoru Nakatsuji","Yusuke Nambu, Satoru Nakatsuji, Yoshiteru Maeno","Coherent Behavior and Nonmagnetic Impurity Effects of the Spin
  Disordered State in NiGa$_2$S$_4$","4 pages, 4 figures",,"10.1143/JPSJ.75.043711",,"cond-mat.str-el cond-mat.mtrl-sci",,"  Nonmagnetic impurity effects of the spin disordered state in the triangular
antiferromagnet NiGa$_2$S$_4$ was studied through magnetic and thermal
measurements for Ni$_{1-x}$Zn$_x$Ga$_2$S$_4$ (0.0\le x\le 0.3). Only 1 %
substitution is enough to strongly suppress the coherence observed in the spin
disordered state. However, the suppression is not complete and the robust
feature of the T^2 dependent specific heat and its scaling behavior with the
Weiss temperature indicate the existence of a coherent Nambu-Goldstone mode.
Absence of either conventional magnetic order or bulk spin freezing suggests a
novel symmetry breaking of the ground state.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 15:12:20 GMT""},{""version"":""v2"",""created"":""Thu, 1 Dec 2005 06:35:10 GMT""}]","2009-11-11"
"cond-mat/0511740","Randall D. Kamien","Christian D. Santangelo and Randall D. Kamien","Elliptic Phases: A Study of the Nonlinear Elasticity of Twist-Grain
  Boundaries","4 pages, 2 figures","Phys. Rev. Lett. 96 (2006) 137801","10.1103/PhysRevLett.96.137801",,"cond-mat.soft cond-mat.mtrl-sci math.DG",,"  We develop an explicit and tractable representation of a twist-grain-boundary
phase of a smectic A liquid crystal. This allows us to calculate the
interaction energy between grain boundaries and the relative contributions from
the bending and compression deformations. We discuss the special stability of
the 90 degree grain boundaries and discuss the relation of this structure to
the Schwarz D surface.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 15:31:54 GMT""},{""version"":""v2"",""created"":""Fri, 17 Mar 2006 14:23:16 GMT""},{""version"":""v3"",""created"":""Sat, 1 Apr 2006 16:10:53 GMT""}]","2007-05-23"
"cond-mat/0511741","Ramin Abolfath","Ramin M. Abolfath, and Pawel Hawrylak","Real Space Hartree-Fock Configuration Interaction Method For Complex
  Lateral Quantum Dot Molecules","8 pages, 12 figures","Journal of Chemical Physics 125, 034707 (2006)","10.1063/1.2219447",,"cond-mat.mes-hall",,"  We present unrestricted Hartree Fock method coupled with configuration
interaction (CI) method (URHF-CI) suitable for the calculation of ground and
excited states of large number of electrons localized by complex gate
potentials in quasi-two-dimensional quantum dot molecules. The method employs
real space finite difference method, incorporating strong magnetic field, for
the calculating of single particle states. The Hartree-Fock method is employed
for the calculation of direct and exchange interaction contribution to the
ground state energy. The effects of correlations are included in energies and
directly in the many-particle wavefunctions via configuration interaction (CI)
method using a limited set of excitations above the Fermi level. The URHF-CI
method and its performance are illustrated on the example of ten electrons
confined in a two-dimensional quantum dot molecule.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 15:40:42 GMT""},{""version"":""v2"",""created"":""Thu, 27 Jul 2006 23:42:37 GMT""}]","2009-11-11"
"cs/0511102","J?r?mie Leguay M.","Jeremie Leguay, Timur Friedman, Vania Conan","Evaluating Mobility Pattern Space Routing for DTNs","IEEE INFOCOM 2006 preprint",,"10.1109/INFOCOM.2006.299",,"cs.NI",,"  Because a delay tolerant network (DTN) can often be partitioned, the problem
of routing is very challenging. However, routing benefits considerably if one
can take advantage of knowledge concerning node mobility. This paper addresses
this problem with a generic algorithm based on the use of a high-dimensional
Euclidean space, that we call MobySpace, constructed upon nodes' mobility
patterns. We provide here an analysis and the large scale evaluation of this
routing scheme in the context of ambient networking by replaying real mobility
traces. The specific MobySpace evaluated is based on the frequency of visit of
nodes for each possible location. We show that the MobySpace can achieve good
performance compared to that of the other algorithms we implemented, especially
when we perform routing on the nodes that have a high connection time. We
determine that the degree of homogeneity of mobility patterns of nodes has a
high impact on routing. And finally, we study the ability of nodes to learn
their own mobility patterns.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 19:38:58 GMT""}]","2016-11-15"
"cs/0511103","Aaron Wagner","Aaron B. Wagner and Venkat Anantharam","An Infeasibility Result for the Multiterminal Source-Coding Problem","42 pages; submitted to IEEE Trans. Inf. Theory",,,,"cs.IT math.IT",,"  We prove a new outer bound on the rate-distortion region for the
multiterminal source-coding problem. This bound subsumes the best outer bound
in the literature and improves upon it strictly in some cases. The improved
bound enables us to obtain a new, conclusive result for the binary erasure
version of the ""CEO problem."" The bound recovers many of the converse results
that have been established for special cases of the problem, including the
recent one for the Gaussian version of the CEO problem.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 00:03:03 GMT""}]","2007-07-16"
"cs/0511104","Hossein Kakavand","Hossein Kakavand","Channel Model and Upper Bound on the Information Capacity of the Fiber
  Optical Communication Channel Based on the Effects of XPM Induced
  Nonlinearity","10 pages, 43rd Annual Allerton Conference on Communication, Control
  and Computing, Monticello, IL, USA, Sept. 28-30, 2005",,,,"cs.IT math.IT",,"  An upper bound to the information capacity of a wavelength-division multi-
plexed optical fiber communication system is derived in a model incorporating
the nonlinear propagation effects of cross-phase modulation (XPM). This work is
based on the paper by Mitra et al., finding lower bounds to the channel
capacity, in which physical models for propagation are used to calculate
statistical properties of the conditional probability distribution relating
input and output in a single WDM channel. In this paper we present a tractable
channel model incorporating the effects of cross phase modulation. Using this
model we find an upper bound to the information capacity of the fiber optical
communication channel at high SNR. The results provide physical insight into
the manner in which nonlinearities degrade the information capacity.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 01:17:52 GMT""}]","2007-07-13"
"cs/0511105","Todd Young","Erik M. Boczko, Todd R. Young","The Signed Distance Function: A New Tool for Binary Classification","13 pages, 5 figures",,,,"cs.LG cs.CG",,"  From a geometric perspective most nonlinear binary classification algorithms,
including state of the art versions of Support Vector Machine (SVM) and Radial
Basis Function Network (RBFN) classifiers, and are based on the idea of
reconstructing indicator functions. We propose instead to use reconstruction of
the signed distance function (SDF) as a basis for binary classification. We
discuss properties of the signed distance function that can be exploited in
classification algorithms. We develop simple versions of such classifiers and
test them on several linear and nonlinear problems. On linear tests accuracy of
the new algorithm exceeds that of standard SVM methods, with an average of 50%
fewer misclassifications. Performance of the new methods also matches or
exceeds that of standard methods on several nonlinear problems including
classification of benchmark diagnostic micro-array data sets.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 14:15:17 GMT""}]","2007-05-23"
"gr-qc/0511149","Franz Hinterleitner","Roman Steigl, Franz Hinterleitner","Factor ordering in standard quantum cosmology","15 pages, 3 figures","Class.Quant.Grav. 23 (2006) 3879-3894","10.1088/0264-9381/23/11/013",,"gr-qc",,"  The Wheeler-DeWitt equation of Friedmann models with a massless quantum field
is formulated with arbitrary factor ordering of the Hamiltonian constraint
operator. A scalar product of wave functions is constructed, giving rise to a
probability interpretation and making comparison with the classical solution
possible. In general the bahaviour of the wave function of the model depends on
a critical energy of the matter field, which, in turn, depends on the chosen
factor ordering. By certain choices of the ordering the critical energy can be
pushed down to zero.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:45:05 GMT""}]","2009-11-11"
"gr-qc/0511159","Vitaly Vanchurin","Vitaly Vanchurin, Ken D. Olum and Alexander Vilenkin","Scaling of cosmic string loops","Added discussion of gravitational wave bounds; other minor changes","Phys.Rev. D74 (2006) 063527","10.1103/PhysRevD.74.063527",,"gr-qc astro-ph hep-ph hep-th",,"  We study the spectrum of loops as a part of a complete network of cosmic
strings in flat spacetime. After a long transient regime, characterized by
production of small loops at the scale of the initial conditions, it appears
that a true scaling regime takes over. In this final regime the characteristic
length of loops scales as $0.1 t$, in contrast to earlier simulations which
found tiny loops. We expect the expanding-universe behavior to be qualitatively
similar. The large loop sizes have important cosmological implications. In
particular, the nucleosynthesis bound becomes $G\mu \lesssim 10^{-7}$, much
tighter than before.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 23:39:00 GMT""},{""version"":""v2"",""created"":""Tue, 6 Dec 2005 21:39:18 GMT""},{""version"":""v3"",""created"":""Mon, 24 Apr 2006 19:07:35 GMT""},{""version"":""v4"",""created"":""Tue, 20 Jun 2006 16:19:09 GMT""}]","2009-11-11"
"gr-qc/0511160","Dario Zappala","M. Consoli, E. Costanzo","Indications for a preferred reference frame from an ether-drift
  experiment","7 pages, plain Latex",,,,"gr-qc astro-ph",,"  We present a fully model-independent analysis of the extensive observations
reported by a recent ether-drift experiment in Berlin. No a priori assumption
is made on the nature of a hypothetical preferred frame. We find a remarkable
consistency with an Earth's cosmic motion exhibiting an average declination
angle |\gamma|\sim 43^o and with values of the RMS anisotropy parameter
(1/2-\beta+\delta) that are one order of magnitude larger than the presently
quoted ones. This might represent the first modern indication for a preferred
frame and for a non-zero anisotropy of the speed of light.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 08:46:53 GMT""}]","2007-05-23"
"gr-qc/0511161","Annalisa Marzuoli","Silvano Garnerone, Annalisa Marzuoli and Mario Rasetti","Spin networks, quantum automata and link invariants","LateX,19 pages; to appear in the Proc. of ""Constrained Dynamics and
  Quantum Gravity (QG05), Cala Gonone (Italy) September 12-16 2005","J.Phys.Conf.Ser. 33 (2006) 95-106","10.1088/1742-6596/33/1/009",,"gr-qc quant-ph",,"  The spin network simulator model represents a bridge between (generalized)
circuit schemes for standard quantum computation and approaches based on
notions from Topological Quantum Field Theories (TQFT). More precisely, when
working with purely discrete unitary gates, the simulator is naturally modelled
as families of quantum automata which in turn represent discrete versions of
topological quantum computation models. Such a quantum combinatorial scheme,
which essentially encodes SU(2) Racah--Wigner algebra and its braided
counterpart, is particularly suitable to address problems in topology and group
theory and we discuss here a finite states--quantum automaton able to accept
the language of braid group in view of applications to the problem of
estimating link polynomials in Chern--Simons field theory.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 10:59:05 GMT""}]","2015-06-25"
"gr-qc/0511162","Branislav Cvetkovi\'c","M. Blagojevic and B. Cvetkovic","Asymptotic charges in 3d gravity with torsion","6 pages, LATEX file (+jpconf.cls,jpconf11.clo), Talk presented at
  Constrained Dynamics and Quantum Gravity 05, Cala Gonone (Sardinia, Italy),
  September 12-16, 2005","J.Phys.Conf.Ser. 33 (2006) 248-253","10.1088/1742-6596/33/1/026",,"gr-qc hep-th",,"  We discuss some new developments in three-dimensional gravity with torsion,
based on Riemann-Cartan geometry. Using the canonical approach, we study the
structure of asymptotic symmetry, clarify its fundamental role in defining the
gravitational conserved charges, and explore the influence of the asymptotic
structure on the black hole entropy.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 11:56:51 GMT""}]","2015-06-25"
"gr-qc/0511163","Burkhard Zink","Burkhard Zink, Enrique Pazos, Peter Diener, Manuel Tiglio","Cauchy-perturbative matching revisited: tests in spherical symmetry","14 pages, 20 figures","Phys.Rev. D73 (2006) 084011","10.1103/PhysRevD.73.084011",,"gr-qc",,"  During the last few years progress has been made on several fronts making it
possible to revisit Cauchy-perturbative matching (CPM) in numerical relativity
in a more robust and accurate way. This paper is the first in a series where we
plan to analyze CPM in the light of these new results.
  Here we start by testing high-order summation-by-parts operators, penalty
boundaries and contraint-preserving boundary conditions applied to CPM in a
setting that is simple enough to study all the ingredients in great detail:
Einstein's equations in spherical symmetry, describing a black hole coupled to
a massless scalar field. We show that with the techniques described above, the
errors introduced by Cauchy-perturbative matching are very small, and that very
long term and accurate CPM evolutions can be achieved. Our tests include the
accretion and ring-down phase of a Schwarzschild black hole with CPM, where we
find that the discrete evolution introduces, with a low spatial resolution of
\Delta r = M/10, an error of 0.3% after an evolution time of 1,000,000 M. For a
black hole of solar mass, this corresponds to approximately 5 s, and is
therefore at the lower end of timescales discussed e.g. in the collapsar model
of gamma-ray burst engines.
  (abridged)
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 12:37:50 GMT""}]","2009-11-11"
