"astro-ph/0511410","Kris Sigurdson","Nicole F. Bell (Caltech), Elena Pierpaoli (Caltech), and Kris
  Sigurdson (Caltech and IAS)","Cosmological Signatures of Interacting Neutrinos","17 pages, 14 figures, minor changes and references added, published
  in Phys. Rev. D","Phys.Rev. D73 (2006) 063523","10.1103/PhysRevD.73.063523","KRL-MAP-309","astro-ph hep-ph",,"  We investigate signatures of neutrino scattering in the Cosmic Microwave
Background (CMB) and matter power spectra, and the extent to which present
cosmological data can distinguish between a free streaming or tightly coupled
fluid of neutrinos. If neutrinos have strong non-standard interactions, for
example, through the coupling of neutrinos to a light boson, they may be kept
in equilibrium until late times. We show how the power spectra for these models
differ from more conventional neutrino scenarios, and use CMB and large scale
structure data to constrain these models. CMB polarization data improves the
constraints on the number of massless neutrinos, while the Lyman--$\alpha$
power spectrum improves the limits on the neutrino mass. Neutrino mass limits
depend strongly on whether some or all of the neutrino species interact and
annihilate. The present data can accommodate a number of tightly-coupled
relativistic degrees of freedom, and none of the interacting-neutrino scenarios
considered are ruled out by current data -- although considerations regarding
the age of the Universe disfavor a model with three annihilating neutrinos with
very large neutrino masses.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:32:21 GMT""},{""version"":""v2"",""created"":""Sat, 1 Apr 2006 01:01:51 GMT""}]","2007-05-23"
"cond-mat/0511391","Christian Romeike","C. Romeike, M. R. Wegewijs, H. Schoeller","Spin quantum tunneling in single molecular magnets: fingerprints in
  transport spectroscopy of current and noise","4 pages, 3 figures",,"10.1103/PhysRevLett.96.196805",,"cond-mat.str-el",,"  We demonstrate that transport spectroscopy of single molecular magnets shows
signatures of quantum tunneling at low temperatures. We find current and noise
oscillations as function of bias voltage due to a weak violation of spin
selection rules by quantum tunneling processes. The interplay with Boltzmann
suppression factors leads to fake resonances with temperature-dependent
position which do not correspond to any charge excitation energy. Furthermore,
we find that quantum tunneling can completely suppress transport if the
easy-plane anisotropy has a high symmetry.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 11:00:25 GMT""},{""version"":""v2"",""created"":""Thu, 18 May 2006 10:13:34 GMT""}]","2009-11-11"
"cond-mat/0511392","Kohei Hamaya","K. Hamaya, T. Koike, T. Taniyama, T. Fujii, Y. Kitamoto, and Y.
  Yamazaki","Dynamic relaxation of magnetic clusters in a ferromagnetic (Ga,Mn)As
  epilayer","8 pages, 7 figures, to appear in Phys. Rev. B",,"10.1103/PhysRevB.73.155204",,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  A new scenario of the mechanism of intriguing ferromagnetic properties in
Mn-doped magnetic semiconductor (Ga,Mn)As is examined in detail. We find that
magnetic features seen in zero-field cooled and field cooled magnetizations are
not interpreted with a single domain model [Phys. Rev. Lett. 95, 217204
(2005)], and the magnetic relaxation, which is similar to that seen in magnetic
particles and granular systems, is becoming significant at temperatures above
the lower-temperature peak in the temperature dependence of ac susceptibility,
supporting the cluster/matrix model reported in our previous work [Phys. Rev.
Lett. 94, 147203 (2005)]. Cole-Cole analysis reveals that magnetic interactions
between such (Ga,Mn)As clusters are significant at temperatures below the
higher-temperature peak in the temperature dependent ac susceptibility. The
magnetizations of these films disappear above the temperature showing the
higher-temperature peak, which is generally referred to as the Curie
temperature. However, we suggest that these combined results are evidence that
the temperature is actually the blocking temperature of (Ga,Mn)As clusters with
a relatively high hole concentration compared to the (Ga,Mn)As matrix.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 11:46:42 GMT""},{""version"":""v2"",""created"":""Thu, 2 Feb 2006 06:09:47 GMT""}]","2009-11-11"
"cond-mat/0511393","Jun He hejun_2000","Jun He, Yingli Qu, Heping Li, Jun Mi, Wei Ji","Three photon absorption in ZnO and ZnS crystals","13 pages, 7 figures","Optics Express 13, 9235 (2005)","10.1364/OPEX.13.009235",,"cond-mat.mtrl-sci",,"  We report a systematic investigation of both three-photon absorption
(3PA)spectra and wavelength dispersions of Kerr-type nonlinear refraction in
wide-gap semiconductors. The Z-scan measurements are recorded for both ZnO and
ZnS with femtosecond laser pulses. While the wavelength dispersions of the Kerr
nonlinearity are in agreement with a two-band model, the wavelength dependences
of the 3PA are found to be given by (3Ephoton/Eg-1)5/2(3Ephoton/Eg)-9. We also
evaluate higher-order nonlinear optical effects including the fifth-order
instantaneous nonlinear refraction associated with virtual three-photon
transitions, and effectively seventh-order nonlinear processes induced by
three-photon-excited free charge carriers. These higher-order nonlinear effects
are insignificant with laser excitation irradiances up to 40 GW/cm2. Both
pump-probe measurements and three-photon figures of merits demonstrate that ZnO
and ZnS should be a promising candidate for optical switching applications at
telecommunication wavelengths.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 12:10:36 GMT""}]","2009-11-11"
"cond-mat/0511394","Dan Bohr","Dan Bohr, Peter Schmitteckert, and Peter Woelfle","DMRG evaluation of the Kubo formula -- Conductance of strongly
  interacting quantum systems","7 pages, 2 figures. Minor typos corrected","Europhys. Lett., 73 (2), pp. 246-252 (2006)","10.1209/epl/i2005-10377-6",,"cond-mat.str-el",,"  In this paper we present a novel approach combining linear response theory
(Kubo) for the conductance and the Density Matrix Renormalization Group (DMRG).
The system considered is one-dimensional and consists of non-interacting tight
binding leads coupled to an interacting nanostructure via weak links. Electrons
are treated as spinless fermions and two different correlation functions are
used to evaluate the conductance.
  Exact diagonalization calculations in the non-interacting limit serve as a
benchmark for our combined Kubo and DMRG approach in this limit. Including both
weak and strong interaction we present DMRG results for an extended
nanostructure consisting of seven sites. For the strongly interacting structure
a simple explanation of the position of the resonances is given in terms of
hard-core particles moving freely on a lattice of reduced size.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 13:19:12 GMT""},{""version"":""v2"",""created"":""Thu, 12 Jan 2006 10:54:45 GMT""}]","2007-05-23"
"cond-mat/0511395","Ryszard Radwanski","Z. Ropka R.J. Radwanski","Electronic structure and crystal-field states in V2O3*","2 pages, 2 figures embedded",,,,"cond-mat.str-el",,"  We have calculated the electronic structure of V2O3 associated with the V3+
ions taking into account strong on-site electron correlations and the
spin-orbit coupling. Closely lying 9 states of the subterm 3T1g are a physical
reason for exotic phenomena of V2O3. Electronic structure and magnetism of V3+
ions in the octahedral surroundings are strongly susceptible to lattice
distortions and magnetic interactions. Our approach accounts both for the
insulating ground state, magnetism, including its orbital contribution, as well
as thermodynamical properties.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 13:50:53 GMT""}]","2007-05-23"
"cond-mat/0511396","Uli Buchenau","U. Buchenau, M. Ohl and A. Wischnewski","A new interpretation of dielectric data in molecular glass formers","7 pages, 4 figures, 68 references; 3. version extended following
  referee advice","J. Chem. Phys 124, 094505 (2006)","10.1063/1.2176618",,"cond-mat.dis-nn",,"  Literature dielectric data of glycerol, propylene carbonate and
ortho-terphenyl (OTP) show that the measured dielectric relaxation is a decade
faster than the Debye expectation, but still a decade slower than the breakdown
of the shear modulus. From a comparison of time scales, the dielectric
relaxation seems to be due to a process which relaxes not only the molecular
orientation, but the entropy, the short-range order and the density as well. On
the basis of this finding, we propose an alternative to the
Gemant-DiMarzio-Bishop extension of the Debye picture.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 14:01:39 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 2005 12:52:42 GMT""},{""version"":""v3"",""created"":""Fri, 13 Jan 2006 21:40:54 GMT""}]","2007-05-23"
"cond-mat/0511397","Ryszard Radwanski","R.J. Radwanski Z. Ropka","Crystal field and spin-fluctuations in heavy fermion metal CeAl3,
  YbRh2Si2 and UPd2Al3*","3 pages, 2 figures embedded","Acta Physica 6 (2007) 21",,,"cond-mat.str-el",,"  We have shown the existence of localized crystal-field states in conducting
magnetic materials coexisting with conduction electrons in CeAl3, UPd2Al3 and
YbRh2Si2. We point out that the magnetism is strongly correlated with the very
detailed local atomic-scale crystal structure.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:03:22 GMT""}]","2008-10-08"
"cond-mat/0511398","M. V. Moskalets","M. Moskalets and M. Buttiker","Multi-particle correlations of an oscillating scatterer","6 pages, 2 figures","Phys. Rev. B 73, 125315 (2006)","10.1103/PhysRevB.73.125315",,"cond-mat.mes-hall",,"  Using multi-particle distribution functions we calculate the correlations
produced by a periodically driven scatterer in a system of noninteracting
electrons at zero temperature. The multi-particle correlations due to a quantum
exchange effect are expressed in terms of photon-assisted scattering
amplitudes. The results we obtain are valid for slow but arbitrary in strength
driving. We show that even for large amplitude pumps the zero-frequency noise
power is related to two-particle correlations. In addition to two-particle
correlations a large amplitude pump can generate multi-particle correlations.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:25:45 GMT""}]","2007-05-23"
"cond-mat/0511399","Daniel Greenbaum","Daniel Greenbaum","Magnetization and spin-spin energy diffusion in the XY model: a
  diagrammatic approach","28 pages, 15 embedded .eps figures, Elsevier preprint format","J. Magn. Reson. 179, 11 (2006)","10.1016/j.jmr.2005.10.011",,"cond-mat.stat-mech cond-mat.other",,"  It is shown that the diagrammatic cluster expansion technique for equilibrium
averages of spin operators may be straightforwardly extended to the calculation
of time-dependent correlation functions of spin operators. We use this
technique to calculate exactly the first two non-vanishing moments of the
spin-spin and energy-energy correlation functions of the XY model with
arbitrary couplings, in the long-wavelength, infinite temperature limit
appropriate for spin diffusion. These moments are then used to estimate the
magnetization and spin-spin energy diffusion coefficients of the model using a
phenomenological theory of Redfield. Qualitative agreement is obtained with
recent experiments measuring diffusion of dipolar energy in calcium fluoride.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:34:03 GMT""}]","2007-05-23"
"cond-mat/0511401","Engin Durgun","Engin Durgun, Sefa Dag, Salim Ciraci","Theoretical study of Ga-based nanowires and the interaction of Ga with
  single-wall carbon nanotubes","8 pages, 8 figures","PHYSICAL REVIEW B 70, 155305 (2004)","10.1103/PhysRevB.70.155305",,"cond-mat.other cond-mat.mtrl-sci",,"  Gallium displays physical properties which can make it a potential element to
produce metallic nanowires and high-conducting interconnects in
nanoelectronics. Using first-principles pseudopotential plane method we showed
that Ga can form stable metallic linear and zigzag monatomic chain structures.
The interaction between individual Ga atom and single-wall carbon nanotube
(SWNT) leads to a chemisorption bond involving charge transfer. Doping of SWNT
with Ga atom gives rise to donor states. Owing to a significant interaction
between individual Ga atom and SWNT, continuous Ga coverage of the tube can be
achieved. Ga nanowires produced by the coating of carbon nanotube templates are
found to be stable and high conducting.
","[{""version"":""v1"",""created"":""Wed, 16 Nov 2005 15:57:50 GMT""}]","2009-11-11"
"cs/0511057","Ratko Tomic V","Ratko V. Tomic","Quantized Indexing: Beyond Arithmetic Coding","Submitted to DCC-2006","IEEE/DCC 2006, p. 468","10.1109/DCC.2006.70","TR05-1115","cs.IT cs.DM math.CO math.IT",,"  Quantized Indexing is a fast and space-efficient form of enumerative
(combinatorial) coding, the strongest among asymptotically optimal universal
entropy coding algorithms. The present advance in enumerative coding is similar
to that made by arithmetic coding with respect to its unlimited precision
predecessor, Elias coding. The arithmetic precision, execution time, table
sizes and coding delay are all reduced by a factor O(n) at a redundancy below
2*log(e)/2^g bits/symbol (for n input symbols and g-bit QI precision). Due to
its tighter enumeration, QI output redundancy is below that of arithmetic
coding (which can be derived as a lower accuracy approximation of QI). The
relative compression gain vanishes in large n and in high entropy limits and
increases for shorter outputs and for less predictable data. QI is
significantly faster than the fastest arithmetic coders, from factor 6 in high
entropy limit to over 100 in low entropy limit (`typically' 10-20 times
faster). These speedups are result of using only 3 adds, 1 shift and 2 array
lookups (all in 32 bit precision) per less probable symbol and no coding
operations for the most probable symbol . Further, the exact enumeration
algorithm is sharpened and its lattice walks formulation is generalized. A new
numeric type with a broader applicability, sliding window integer, is
introduced.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 17:10:45 GMT""}]","2016-11-18"
